Pick,CDF-fitted dark time (s),number of binding sites,x,y,convex_hull
120,96.5097459966141,3.0,261.8179016113281,165.54798889160156,0.232744500041008
122,451.26819366587904,1.0,264.74725341796875,186.68467712402344,0.054480716586112976
123,38.03124239444452,6.0,263.82098388671875,182.97628784179688,0.2563071846961975
126,21.48708265755341,12.0,271.4981994628906,186.21754455566406,0.47599780559539795
127,179.8499447443066,1.0,278.12872314453125,177.03463745117188,0.1245577335357666
128,255.8485323319304,1.0,277.2572937011719,176.87289428710938,0.10271652042865753
129,52.4723509201717,5.0,274.2527770996094,187.73268127441406,0.34031516313552856
130,72.35285119443179,3.0,259.0949401855469,185.78529357910156,0.1688181757926941
131,64.77983921759437,4.0,265.1143798828125,184.351806640625,0.27402520179748535
132,191.431882170113,1.0,271.4079284667969,176.9671173095703,0.05385736748576164
133,131.94582468043723,2.0,264.3287353515625,186.89974975585938,0.17031414806842804
134,88.46017763429803,3.0,264.63934326171875,168.2393341064453,0.2964419722557068
135,59.10304034333494,4.0,266.9914855957031,190.79075622558594,0.3180030882358551
136,248.72771071095414,1.0,252.48825073242188,185.61964416503906,0.1296853870153427
138,354.20019888463827,1.0,255.21588134765625,187.60206604003906,0.13732904195785522
139,235.9280903735191,1.0,277.3779296875,172.5775146484375,0.09245786815881729
140,206.58609066644726,1.0,254.9271240234375,184.34425354003906,0.1344042867422104
141,252.5469467638145,1.0,263.176513671875,186.22201538085938,0.08211013674736023
142,116.70483786726018,2.0,262.3433532714844,190.22486877441406,0.1196955218911171
143,123.9167122463542,2.0,257.9506530761719,167.12937927246094,0.17222245037555695
144,151.5819785799018,2.0,253.23023986816406,180.17544555664062,0.17996081709861755
145,106.12622197689439,2.0,272.95855712890625,182.9862823486328,0.15105551481246948
146,260.1279787850614,1.0,259.4066467285156,187.77529907226562,0.07940974086523056
148,90.72045006845913,3.0,256.6811828613281,188.46018981933594,0.3356904983520508
150,95.23053340405185,3.0,266.74652099609375,180.21893310546875,0.15836501121520996
151,35.218344361458726,7.0,252.06910705566406,174.02099609375,0.8206468820571899
152,248.33019729262335,1.0,266.56243896484375,179.80096435546875,0.07243484258651733
153,232.22163511867507,1.0,266.7361145019531,169.5882568359375,0.052441805601119995
154,62.33902022177527,4.0,265.7640075683594,170.21986389160156,0.35771438479423523
155,124.02731279060696,2.0,263.5688781738281,186.45535278320312,0.140265092253685
156,338.3211334587517,1.0,258.0892028808594,171.3951873779297,0.06970163434743881
158,197.43654784539274,1.0,265.82763671875,178.66256713867188,0.0816858783364296
159,47.427623208375635,5.0,268.16741943359375,165.76882934570312,0.1666768342256546
161,118.56323088382678,2.0,258.6081848144531,182.01345825195312,0.20160087943077087
162,40.71306913514067,6.0,266.5145568847656,182.4351043701172,0.3113587200641632
164,259.2981601113791,1.0,274.00244140625,167.95497131347656,0.11611077934503555
165,308.04295723597704,1.0,268.104736328125,167.84971618652344,0.014680308289825916
166,64.58904101960042,4.0,250.06752014160156,177.99896240234375,0.29668116569519043
167,234.9242816941844,1.0,267.193603515625,182.40512084960938,0.030996624380350113
169,375.8705173793623,1.0,270.5216979980469,174.4565887451172,0.07360249757766724
170,248.80411069756514,1.0,261.2949523925781,166.09939575195312,0.09946788847446442
171,104.68731277600955,2.0,275.5046691894531,186.4624481201172,0.249775692820549
172,89.9973311066581,3.0,255.45909118652344,183.62451171875,0.23771415650844574
173,138.65674003866405,2.0,276.6611328125,169.3267822265625,0.1338517814874649
174,151.02424146044305,2.0,256.91180419921875,187.40000915527344,0.14707858860492706
175,320.3693088665172,1.0,257.65301513671875,169.3064422607422,0.09874644875526428
179,326.13687502296324,1.0,267.9960021972656,190.36148071289062,0.10224878042936325
180,88.76880452993117,3.0,253.35250854492188,187.36758422851562,0.17751245200634003
181,119.74019970522313,2.0,269.6986389160156,167.6159210205078,0.10763677954673767
184,187.9905040676171,1.0,258.6760559082031,185.1316680908203,0.04020119085907936
185,309.81982387362433,1.0,259.4130554199219,166.63673400878906,0.04765533283352852
188,88.47416388683733,3.0,252.78170776367188,184.28564453125,0.14536066353321075
189,208.60813270046742,1.0,275.62640380859375,182.17454528808594,0.06645727157592773
190,112.70857815284216,2.0,260.43011474609375,163.6797332763672,0.270926833152771
191,131.4718441233482,2.0,260.3378601074219,176.45533752441406,0.17986886203289032
194,196.04838970973174,1.0,256.0204772949219,188.54379272460938,0.09449279308319092
195,170.9653139794524,1.0,275.99554443359375,170.1923828125,0.1754319667816162
196,159.89500594549324,2.0,255.0501251220703,182.2522430419922,0.1265561431646347
197,183.45703283670863,1.0,271.87652587890625,178.82144165039062,0.09339756518602371
198,212.63579850508634,1.0,261.0769348144531,173.94216918945312,0.06336937099695206
200,146.0835837679129,2.0,266.96661376953125,191.6139373779297,0.1551540046930313
203,155.8782124756038,2.0,274.1733093261719,171.32444763183594,0.08401979506015778
204,228.32943541699262,1.0,259.0520324707031,180.6873779296875,0.05733174458146095
205,92.41553281853956,3.0,252.68417358398438,180.9571533203125,0.12649931013584137
206,125.46860304703412,2.0,273.4653625488281,186.1785430908203,0.13736490905284882
207,394.6107488504349,1.0,263.88067626953125,165.2509307861328,0.06059633567929268
208,116.75088064891885,2.0,263.33740234375,162.86434936523438,0.20949998497962952
210,46.71245973547008,5.0,267.9041442871094,184.7757568359375,0.6151511669158936
211,160.10529432478393,2.0,260.60577392578125,171.92086791992188,0.11928936094045639
212,109.31905530278682,2.0,259.6221618652344,185.62037658691406,0.13090330362319946
214,246.89500864435107,1.0,267.1922912597656,173.93173217773438,0.06716515123844147
216,154.95917258116793,2.0,253.5953369140625,185.8231658935547,0.15134480595588684
218,181.83576285160652,1.0,256.8376159667969,183.0615997314453,0.08264613896608353
219,282.2998150699341,1.0,257.22332763671875,173.80601501464844,0.04511818662285805
